uhf_code,uhf_name,borough,year,overdose_deaths,age_adj_rate_per_100k,rate_pct_change,suppressed,source_report,source_url,note
304,Upper West Side,Manhattan,2024,34.0,17.3,-38.9,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
305,Upper East Side,Manhattan,2024,10.0,6.1,-51.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
306,Chelsea-Clinton,Manhattan,2024,39.0,27.4,-24.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
307,Gramercy Park-Murray Hill,Manhattan,2024,22.0,18.2,43.3,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
308,Greenwich Village-SoHo,Manhattan,2024,,,,True,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
309,Union Square,Manhattan,2024,52.0,31.8,-11.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
310,Lower Manhattan,Manhattan,2024,,,,True,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
401,Long Island City-Astoria,Queens,2024,45.0,28.1,1.1,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
402,West Queens,Queens,2024,48.0,13.7,-35.1,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
403,Flushing - Clearview,Queens,2024,28.0,15.0,-35.9,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
404,Bayside-Little Neck,Queens,2024,14.0,20.5,25.0,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
405,Ridgewood,Queens,2024,22.0,10.2,-42.4,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
406,Fresh Meadows,Queens,2024,13.0,16.7,-8.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
407,Southwest Queens,Queens,2024,35.0,15.8,-35.2,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
408,Jamaica,Queens,2024,57.0,20.6,-28.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
409,Southeast Queens,Queens,2024,21.0,10.7,-45.1,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
410,Rockaway,Queens,2024,34.0,30.4,-49.8,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
501,Port Richmond,Staten Island,2024,16.0,27.9,-47.1,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
502,Stapleton-St. George,Staten Island,2024,30.0,29.3,-49.0,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
503,Willowbrook,Staten Island,2024,8.0,10.8,-49.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
504,South Beach-Tottenville,Staten Island,2024,27.0,17.4,-48.5,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2024 values are provisional; counts <=5 are suppressed for some neighborhoods.
